#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"A.J.W. Duyvendak";"GL";"K. v. Velzen";"SP";"2006.10.31";"http://polidocs.nl/XML/MOT/5882693.xml"
"F. Halsema";"GL";"J.T. Hoekema";"D66";"2001.04.03";"http://polidocs.nl/XML/MOT/1909341.xml"
"N.J. Ginjaar-Maas";"VVD";"A.J. Evenhuis";"VVD";"1978.11.09";"http://polidocs.nl/XML/MOT/1989108.xml"
"N.J. Ginjaar-Maas";"VVD";"H.P.H. Waalkens";"VVD";"1978.11.09";"http://polidocs.nl/XML/MOT/1989108.xml"
"E.D.C.M. Lambrechts";"D66";"A.J. Timmer";"PvdA";"2003.12.18";"http://polidocs.nl/XML/MOT/2039688.xml"
"E.D.C.M. Lambrechts";"D66";"A. v. Miltenburg";"VVD";"2003.12.18";"http://polidocs.nl/XML/MOT/2039688.xml"
"G. v. Leijenhorst";"CDA";"W.J. Deetman";"CDA";"1978.11.08";"http://polidocs.nl/XML/MOT/1990992.xml"
"W. v. Gent";"GL";"G.C.F.M. Depla";"PvdA";"2002.04.15";"http://polidocs.nl/XML/MOT/2018166.xml"
"A.C. Kant";"SP";"A. v. Miltenburg";"VVD";"2007.10.02";"http://polidocs.nl/XML/MOT/6145638.xml"
"A.C. Kant";"SP";"C.C.M. Vendrik";"GL";"2007.10.02";"http://polidocs.nl/XML/MOT/6145638.xml"
"W.J. Deetman";"CDA";"A.J. Evenhuis";"VVD";"1979.12.20";"http://polidocs.nl/XML/MOT/1975728.xml"
"B.J. v.d. Vlies";"SGP";"A. Rouvoet";"CU";"2004.10.28";"http://polidocs.nl/XML/MOT/2049026.xml"
"B.J. v.d. Vlies";"SGP";"K. Arib";"PvdA";"2004.10.28";"http://polidocs.nl/XML/MOT/2049026.xml"
"B.J. v.d. Vlies";"SGP";"H.P.A. Nawijn";"LPF";"2004.10.28";"http://polidocs.nl/XML/MOT/2049026.xml"
"B.J. v.d. Vlies";"SGP";"A.C. Kant";"SP";"2004.10.28";"http://polidocs.nl/XML/MOT/2049026.xml"
"B.J. v.d. Vlies";"SGP";"E.H. Tonkens";"GL";"2004.10.28";"http://polidocs.nl/XML/MOT/2049026.xml"
"L. Sipkes";"GL";"J.G.C.A. Marijnissen";"SP";"1997.04.23";"http://polidocs.nl/XML/MOT/1842343.xml"
"J.J. Feenstra";"PvdA";"T.W. Rietkerk";"CDA";"2001.12.19";"http://polidocs.nl/XML/MOT/2013244.xml"
"J.J. Feenstra";"PvdA";"F.C. Giskes";"D66";"2001.12.19";"http://polidocs.nl/XML/MOT/2013244.xml"
"J.J. Feenstra";"PvdA";"D.J. Stellingwerf";"CU";"2001.12.19";"http://polidocs.nl/XML/MOT/2013244.xml"
"J.J. Feenstra";"PvdA";"J.T. v.d. Berg";"SGP";"2001.12.19";"http://polidocs.nl/XML/MOT/2013244.xml"
"J.J. Feenstra";"PvdA";"H.J. v.d. Steenhoven";"GL";"2001.12.19";"http://polidocs.nl/XML/MOT/2013244.xml"
"C.G. v.d. Staaij";"SGP";"J.W.M.M.J. Hessels";"CDA";"2006.10.03";"http://polidocs.nl/XML/MOT/5852730.xml"
"C.G. v.d. Staaij";"SGP";"D.M. Samsom";"PvdA";"2006.10.03";"http://polidocs.nl/XML/MOT/5852730.xml"
"C.G. v.d. Staaij";"SGP";"C.C.M. Vendrik";"GL";"2006.10.03";"http://polidocs.nl/XML/MOT/5852730.xml"
"C.G. v.d. Staaij";"SGP";"A.M.V. Gerkens";"SP";"2006.10.03";"http://polidocs.nl/XML/MOT/5852730.xml"
"C.G. v.d. Staaij";"SGP";"B. v.d. Ham";"D66";"2006.10.03";"http://polidocs.nl/XML/MOT/5852730.xml"
"C.G. v.d. Staaij";"SGP";"A. Slob";"CU";"2006.10.03";"http://polidocs.nl/XML/MOT/5852730.xml"
"J. Stuurman";"PvdA";"E.H. Tonkens";"GL";"2004.03.11";"http://polidocs.nl/XML/MOT/2041678.xml"
"A. v.d. Hek";"PvdA";"M.A.M. Wöltgens";"PvdA";"1980.02.28";"http://polidocs.nl/XML/MOT/1976721.xml"
"A. v.d. Hek";"PvdA";"M. Epema-Brugman";"PvdA";"1980.02.28";"http://polidocs.nl/XML/MOT/1976721.xml"
"W.G. Bremen";"CDA";"F. Portheine";"VVD";"1980.01.29";"http://polidocs.nl/XML/MOT/2002429.xml"
"W.G. Bremen";"CDA";"P.R.H.M. v.d. Linden";"CDA";"1980.01.29";"http://polidocs.nl/XML/MOT/2002429.xml"
"A.P.W. Melkert";"PvdA";"M. v. Traa";"PvdA";"1987.04.09";"http://polidocs.nl/XML/MOT/1911233.xml"
"F. Vergeer";"SP";"N. Azough";"GL";"2005.03.09";"http://polidocs.nl/XML/MOT/2057979.xml"
"F. Vergeer";"SP";"N. Albayrak";"PvdA";"2005.03.09";"http://polidocs.nl/XML/MOT/2057979.xml"
"C.B. Aptroot";"VVD";"B.J. v.d. Vlies";"SGP";"2005.11.03";"http://polidocs.nl/XML/MOT/5480352.xml"
"C.B. Aptroot";"VVD";"A.D. Bakker";"D66";"2005.11.03";"http://polidocs.nl/XML/MOT/5480352.xml"
"D.M. Samsom";"PvdA";"J.J. Atsma";"CDA";"2008.03.05";"http://polidocs.nl/XML/MOT/6313701.xml"
"T. Tolman";"CDA";"H.P.H. Waalkens";"VVD";"1978.11.07";"http://polidocs.nl/XML/MOT/1992476.xml"
"T. Tolman";"CDA";"H. v. Rossum";"SGP";"1978.11.07";"http://polidocs.nl/XML/MOT/1992476.xml"
"T. Tolman";"CDA";"G.J.M. Braks";"CDA";"1978.11.07";"http://polidocs.nl/XML/MOT/1992476.xml"
"T. Tolman";"CDA";"H. Wisselink";"CDA";"1978.11.07";"http://polidocs.nl/XML/MOT/1992476.xml"
"S.E.A. Noorman-d. Uyl";"PvdA";"J.T. Hoekema";"D66";"2001.12.06";"http://polidocs.nl/XML/MOT/2012726.xml"
"M.A. Müller-v. Ast";"PvdA";"E. t. Veld";"PvdA";"1983.06.06";"http://polidocs.nl/XML/MOT/1996104.xml"
