#Indiener;Partij Indiener;Medeindiener;Partij Medeindiener;datum motie;URL naar motie
"H. Rienks";"PvdA";"B.M.J. Hennekam";"CDA";"1985.04.17";"http://polidocs.nl/XML/MOT/1954392.xml"
"H. Rienks";"PvdA";"B.J.G. v.d. Kooij";"VVD";"1985.04.17";"http://polidocs.nl/XML/MOT/1954392.xml"
"L.M.L.H.A. Hermans";"VVD";"G.M.P. Cornelissen";"CDA";"1980.02.13";"http://polidocs.nl/XML/MOT/1976124.xml"
"L.M.L.H.A. Hermans";"VVD";"A. Kappeyne v.d. Coppello";"VVD";"1980.02.13";"http://polidocs.nl/XML/MOT/1976124.xml"
"L.P. Middel";"PvdA";"T. Pitstra";"GL";"2001.12.10";"http://polidocs.nl/XML/MOT/2012604.xml"
"L.P. Middel";"PvdA";"F. Ravestein";"D66";"2001.12.10";"http://polidocs.nl/XML/MOT/2012604.xml"
"L.P. Middel";"PvdA";"Th.A.M. Meijer";"CDA";"2001.12.10";"http://polidocs.nl/XML/MOT/2012604.xml"
"M.A. Müller-v. Ast";"PvdA";"E. t. Veld";"PvdA";"1983.06.06";"http://polidocs.nl/XML/MOT/1996066.xml"
"M.A. Müller-v. Ast";"PvdA";"F.W.C. Castricum";"PvdA";"1983.06.06";"http://polidocs.nl/XML/MOT/1996066.xml"
"R.W.F. Kortenhorst";"CDA";"M. Herben";"LPF";"2002.12.05";"http://polidocs.nl/XML/MOT/2026824.xml"
"R.W.F. Kortenhorst";"CDA";"C.G. v.d. Staaij";"SGP";"2002.12.05";"http://polidocs.nl/XML/MOT/2026824.xml"
"A. v. Ojik";"GL";"E. v. Middelkoop";"GPV";"1993.06.07";"http://polidocs.nl/XML/MOT/1867525.xml"
"A. v. Ojik";"GL";"D. Eisma";"D66";"1993.06.07";"http://polidocs.nl/XML/MOT/1867525.xml"
"J.C. Kombrink";"PvdA";"W.A.F.G. Vermeend";"PvdA";"1987.03.17";"http://polidocs.nl/XML/MOT/1907781.xml"
"J.C. Kombrink";"PvdA";"G.J.P. v. Otterloo";"PvdA";"1987.03.17";"http://polidocs.nl/XML/MOT/1907781.xml"
"J.C. Kombrink";"PvdA";"M.A.M. Wöltgens";"PvdA";"1987.03.17";"http://polidocs.nl/XML/MOT/1907781.xml"
"J.C. Kombrink";"PvdA";"A.P.W. Melkert";"PvdA";"1987.03.17";"http://polidocs.nl/XML/MOT/1907781.xml"
"M.A. Müller-v. Ast";"PvdA";"M.B.C. Beckers-d. Bruijn";"PPR";"1980.11.24";"http://polidocs.nl/XML/MOT/1972003.xml"
"A.J. Evenhuis";"VVD";"J. Franssen";"VVD";"1983.03.08";"http://polidocs.nl/XML/MOT/1948130.xml"
"A.J. Evenhuis";"VVD";"D.J.D. Dees";"VVD";"1983.03.08";"http://polidocs.nl/XML/MOT/1948130.xml"
"A.J. Evenhuis";"VVD";"H.F. Dijkstal";"VVD";"1983.03.08";"http://polidocs.nl/XML/MOT/1948130.xml"
"A.J. Evenhuis";"VVD";"M.M.H. Kamp";"VVD";"1983.03.08";"http://polidocs.nl/XML/MOT/1948130.xml"
"A.J. Evenhuis";"VVD";"M.J.H. d. Ouden-Dekkers";"VVD";"1983.03.08";"http://polidocs.nl/XML/MOT/1948130.xml"
"J.N. v. Vroonhoven-Kok";"CDA";"J. Rijpstra";"VVD";"2004.12.13";"http://polidocs.nl/XML/MOT/2053451.xml"
"J.N. v. Vroonhoven-Kok";"CDA";"B.O. Dittrich";"D66";"2004.12.13";"http://polidocs.nl/XML/MOT/2053451.xml"
"B.J. v.d. Vlies";"SGP";"M. Rutte";"VVD";"2007.06.19";"http://polidocs.nl/XML/MOT/6064670.xml"
"B.J. v.d. Vlies";"SGP";"A. Pechtold";"D66";"2007.06.19";"http://polidocs.nl/XML/MOT/6064670.xml"
"B.J. v.d. Vlies";"SGP";"M.L. Thieme";"PVDD";"2007.06.19";"http://polidocs.nl/XML/MOT/6064670.xml"
"B.J. v.d. Vlies";"SGP";"A.C. Kant";"SP";"2007.06.19";"http://polidocs.nl/XML/MOT/6064670.xml"
"H.F. Dijkstal";"VVD";"A.J. Hermes";"CDA";"1985.06.24";"http://polidocs.nl/XML/MOT/1923373.xml"
"H.F. Dijkstal";"VVD";"D.A.Th. v. Ooijen";"PvdA";"1985.06.24";"http://polidocs.nl/XML/MOT/1923373.xml"
"G. Gerritse";"CDA";"S.C. Weijers";"CDA";"1979.05.21";"http://polidocs.nl/XML/MOT/1983546.xml"
"G. Gerritse";"CDA";"B. Bakker";"CDA";"1979.05.21";"http://polidocs.nl/XML/MOT/1983546.xml"
"G. Gerritse";"CDA";"J.D. d. Voogd";"VVD";"1979.05.21";"http://polidocs.nl/XML/MOT/1983546.xml"
"G. Gerritse";"CDA";"S.C. Bischoff v. Heemskerck";"D66";"1979.05.21";"http://polidocs.nl/XML/MOT/1983546.xml"
"C.W.J.M. Roefs";"PvdA";"F. Vergeer";"SP";"2004.11.23";"http://polidocs.nl/XML/MOT/2051635.xml"
"N.J. Ginjaar-Maas";"VVD";"G. v. Leijenhorst";"CDA";"1981.03.30";"http://polidocs.nl/XML/MOT/1963389.xml"
"E.P. v. Heemst";"PvdA";"A.H. Korthals";"VVD";"1997.06.25";"http://polidocs.nl/XML/MOT/1842748.xml"
"E.P. v. Heemst";"PvdA";"J.D. Gabor";"CDA";"1997.06.25";"http://polidocs.nl/XML/MOT/1842748.xml"
"E.P. v. Heemst";"PvdA";"J.T. v.d. Berg";"SGP";"1997.06.25";"http://polidocs.nl/XML/MOT/1842748.xml"
"S.A.M. Dijksma";"PvdA";"P.H. Hofstra";"VVD";"2004.04.29";"http://polidocs.nl/XML/MOT/2043646.xml"
"S.A.M. Dijksma";"PvdA";"M.J.L.M. Hermans";"LPF";"2004.04.29";"http://polidocs.nl/XML/MOT/2043646.xml"
"S.A.M. Dijksma";"PvdA";"A.J.W. Duyvendak";"GL";"2004.04.29";"http://polidocs.nl/XML/MOT/2043646.xml"
"S.A.M. Dijksma";"PvdA";"B. v.d. Ham";"D66";"2004.04.29";"http://polidocs.nl/XML/MOT/2043646.xml"
"S.A.M. Dijksma";"PvdA";"A.M.V. Gerkens";"SP";"2004.04.29";"http://polidocs.nl/XML/MOT/2043646.xml"
"S.A.M. Dijksma";"PvdA";"Y.J. v. Hijum";"CDA";"2004.04.29";"http://polidocs.nl/XML/MOT/2043646.xml"
"A.H. Korthals";"VVD";"G.J. Wolffensperger";"D66";"1990.01.18";"http://polidocs.nl/XML/MOT/1889137.xml"
"E.L. Herfkens";"PvdA";"H. Knol";"PvdA";"1985.09.30";"http://polidocs.nl/XML/MOT/1927985.xml"
"F.W.C. Castricum";"PvdA";"J.J. Lambers-Hacquebard";"D66";"1981.06.11";"http://polidocs.nl/XML/MOT/1966351.xml"
"F.W.C. Castricum";"PvdA";"H.J.G. Waltmans";"PPR";"1981.06.11";"http://polidocs.nl/XML/MOT/1966351.xml"
"A. v. Miltenburg";"VVD";"J.C. Smits";"PvdA";"2006.10.05";"http://polidocs.nl/XML/MOT/5856950.xml"
"A.J. Evenhuis";"VVD";"J.G. Rietkerk";"VVD";"1982.02.15";"http://polidocs.nl/XML/MOT/1958043.xml"
"M.J.M. Verhagen";"CDA";"J.J. v. Aartsen";"VVD";"2004.09.28";"http://polidocs.nl/XML/MOT/2047668.xml"
"M.J.M. Verhagen";"CDA";"B.O. Dittrich";"D66";"2004.09.28";"http://polidocs.nl/XML/MOT/2047668.xml"
"J.J. Lambers-Hacquebard";"D66";"S. Faber";"CDA";"1979.10.22";"http://polidocs.nl/XML/MOT/1983254.xml"
"J.J. Lambers-Hacquebard";"D66";"M.A.M. Wöltgens";"PvdA";"1979.10.22";"http://polidocs.nl/XML/MOT/1983254.xml"
"J.J. Lambers-Hacquebard";"D66";"J.L.A. Jansen";"PPR";"1979.10.22";"http://polidocs.nl/XML/MOT/1983254.xml"
"J.J. Lambers-Hacquebard";"D66";"A.J. Evenhuis";"VVD";"1979.10.22";"http://polidocs.nl/XML/MOT/1983254.xml"
"J.J. Lambers-Hacquebard";"D66";"C.N. v. Dis";"SGP";"1979.10.22";"http://polidocs.nl/XML/MOT/1983254.xml"
"A.J. Evenhuis";"VVD";"N.J. Ginjaar-Maas";"VVD";"1981.01.21";"http://polidocs.nl/XML/MOT/1967928.xml"
"A.J. Evenhuis";"VVD";"F. Portheine";"VVD";"1981.01.21";"http://polidocs.nl/XML/MOT/1967928.xml"
"A.J. Evenhuis";"VVD";"J.D. d. Voogd";"VVD";"1981.01.21";"http://polidocs.nl/XML/MOT/1967928.xml"
"A.J. Evenhuis";"VVD";"H.H. Jacobse";"VVD";"1981.01.21";"http://polidocs.nl/XML/MOT/1967928.xml"
"S.C. Weijers";"CDA";"A.D.W. Tilanus";"CDA";"1976.03.22";"http://polidocs.nl/XML/MOT/2005413.xml"
"S.C. Weijers";"CDA";"D.A.Th. v. Ooijen";"PvdA";"1976.03.22";"http://polidocs.nl/XML/MOT/2005413.xml"
"S.C. Weijers";"CDA";"A. Kappeyne v.d. Coppello";"VVD";"1976.03.22";"http://polidocs.nl/XML/MOT/2005413.xml"
"S.C. Weijers";"CDA";"J.A.P.M. Beekmans";"D66";"1976.03.22";"http://polidocs.nl/XML/MOT/2005413.xml"
"S.C. Weijers";"CDA";"H. Staneke";"DS70";"1976.03.22";"http://polidocs.nl/XML/MOT/2005413.xml"
"S.C. Weijers";"CDA";"M.W.M. v. Winkel";"PPR";"1976.03.22";"http://polidocs.nl/XML/MOT/2005413.xml"
"S.C. Weijers";"CDA";"H.G. Abma";"SGP";"1976.03.22";"http://polidocs.nl/XML/MOT/2005413.xml"
"S.C. Weijers";"CDA";"M.H.M.F. Gardeniers-Berendsen";"CDA";"1976.03.22";"http://polidocs.nl/XML/MOT/2005413.xml"
"J.R.V.A. Dijsselbloem";"PvdA";"B. v.d. Ham";"D66";"2003.02.20";"http://polidocs.nl/XML/MOT/2028680.xml"
"W.F.H. v.h. Schip";"CPN";"A.O. d. Leeuw";"CPN";"1976.04.05";"http://polidocs.nl/XML/MOT/2004890.xml"
"W.F.H. v.h. Schip";"CPN";"F. Dragstra";"CPN";"1976.04.05";"http://polidocs.nl/XML/MOT/2004890.xml"
"W.F.H. v.h. Schip";"CPN";"M. Bakker";"CPN";"1976.04.05";"http://polidocs.nl/XML/MOT/2004890.xml"
"W.F.H. v.h. Schip";"CPN";"J.F. Wolff";"CPN";"1976.04.05";"http://polidocs.nl/XML/MOT/2004890.xml"
"J. Veenendaal";"VVD";"M. Herben";"LPF";"2004.11.22";"http://polidocs.nl/XML/MOT/2050721.xml"
"J. Veenendaal";"VVD";"J.D.M.P. Aasted-Madsen-v. Stiphout";"CDA";"2004.11.22";"http://polidocs.nl/XML/MOT/2050721.xml"
"A.C. Kant";"SP";"W. v. Gent";"GL";"1998.12.01";"http://polidocs.nl/XML/MOT/1826283.xml"
"A.C. Kant";"SP";"B.J. v.d. Vlies";"SGP";"1998.12.01";"http://polidocs.nl/XML/MOT/1826283.xml"
"J. v. Leeuwen";"CDA";"J.T. Vellenga";"PvdA";"1976.03.29";"http://polidocs.nl/XML/MOT/2005637.xml"
"J. v. Leeuwen";"CDA";"M.H.M.F. Gardeniers-Berendsen";"CDA";"1976.03.29";"http://polidocs.nl/XML/MOT/2005637.xml"
"J. v. Leeuwen";"CDA";"A.D.W. Tilanus";"CDA";"1976.03.29";"http://polidocs.nl/XML/MOT/2005637.xml"
"J. v. Leeuwen";"CDA";"G.M.P. Cornelissen";"CDA";"1976.03.29";"http://polidocs.nl/XML/MOT/2005637.xml"
"J. v. Leeuwen";"CDA";"M.W.M. v. Winkel";"PPR";"1976.03.29";"http://polidocs.nl/XML/MOT/2005637.xml"
"J. v. Leeuwen";"CDA";"A. Kappeyne v.d. Coppello";"VVD";"1976.03.29";"http://polidocs.nl/XML/MOT/2005637.xml"
"J. v. Leeuwen";"CDA";"H. Staneke";"DS70";"1976.03.29";"http://polidocs.nl/XML/MOT/2005637.xml"
"H.F. Dijkstal";"VVD";"M.B.C. Beckers-d. Bruijn";"GL";"1992.02.26";"http://polidocs.nl/XML/MOT/1886567.xml"
"H.F. Dijkstal";"VVD";"O. Scheltema-d. Nie";"D66";"1992.02.26";"http://polidocs.nl/XML/MOT/1886567.xml"
"J.F. Snijder-Hazelhoff";"VVD";"J.M.G. Schreijer-Pierik";"CDA";"2004.11.16";"http://polidocs.nl/XML/MOT/2050433.xml"
"J.F. Snijder-Hazelhoff";"VVD";"W. v.d. Brink";"LPF";"2004.11.16";"http://polidocs.nl/XML/MOT/2050433.xml"
"A.Th.B. Bijleveld-Schouten";"CDA";"J.M. Verspaget";"PvdA";"1991.11.27";"http://polidocs.nl/XML/MOT/1875650.xml"
"A.Th.B. Bijleveld-Schouten";"CDA";"E.G. Terpstra";"VVD";"1991.11.27";"http://polidocs.nl/XML/MOT/1875650.xml"
"F. Ravestein";"D66";"W.C.G. Voûte-Droste";"VVD";"2001.10.18";"http://polidocs.nl/XML/MOT/2008887.xml"
"F. Ravestein";"D66";"E.E. Bolhuis";"PvdA";"2001.10.18";"http://polidocs.nl/XML/MOT/2008887.xml"
"M.B. Vos";"GL";"M.M. v. Zuijlen";"PvdA";"1997.11.06";"http://polidocs.nl/XML/MOT/1834756.xml"
"M. v. Traa";"PvdA";"A.C. v. Es";"PSP";"1988.11.24";"http://polidocs.nl/XML/MOT/1899396.xml"
"E. Irrgang";"SP";"F.J.M. Crone";"PvdA";"2006.03.21";"http://polidocs.nl/XML/MOT/5728044.xml"
"E. Irrgang";"SP";"C.C.M. Vendrik";"GL";"2006.03.21";"http://polidocs.nl/XML/MOT/5728044.xml"
"W.J. Willems";"GL";"P. Rosenmöller";"GL";"1994.04.13";"http://polidocs.nl/XML/MOT/1863997.xml"
"W.J. Willems";"GL";"D.K.J. Tommel";"D66";"1994.04.13";"http://polidocs.nl/XML/MOT/1863997.xml"
"W.J. Willems";"PSP";"M.B.C. Beckers-d. Bruijn";"PPR";"1984.12.18";"http://polidocs.nl/XML/MOT/1933961.xml"
"W.J. Willems";"PSP";"I. Brouwer";"CPN";"1984.12.18";"http://polidocs.nl/XML/MOT/1933961.xml"
"W.J. Willems";"PSP";"C.I. Dales";"PvdA";"1984.12.18";"http://polidocs.nl/XML/MOT/1933961.xml"
"M. Bussemaker";"PvdA";"R.H. Algra";"CDA";"2006.10.26";"http://polidocs.nl/XML/MOT/5878399.xml"
"A.G.W.J. Lansink";"CDA";"B.J.G. v.d. Kooij";"VVD";"1985.01.28";"http://polidocs.nl/XML/MOT/1931503.xml"
"A.P.W. Melkert";"PvdA";"J.C. Kombrink";"PvdA";"1988.11.30";"http://polidocs.nl/XML/MOT/1895171.xml"
"E.G. Terpstra";"VVD";"F.W. Weisglas";"VVD";"1990.01.24";"http://polidocs.nl/XML/MOT/1888470.xml"
"L.M. d. Beer";"VVD";"J.F. Scherpenhuizen";"VVD";"1982.06.23";"http://polidocs.nl/XML/MOT/1956438.xml"
"L.M. d. Beer";"VVD";"G.W. Keja";"VVD";"1982.06.23";"http://polidocs.nl/XML/MOT/1956438.xml"
"L.M. d. Beer";"VVD";"L.M.L.H.A. Hermans";"VVD";"1982.06.23";"http://polidocs.nl/XML/MOT/1956438.xml"
"L.M. d. Beer";"VVD";"D.J.D. Dees";"VVD";"1982.06.23";"http://polidocs.nl/XML/MOT/1956438.xml"
"L.M. d. Beer";"VVD";"J.G. Rietkerk";"VVD";"1982.06.23";"http://polidocs.nl/XML/MOT/1956438.xml"
"M. Bakker";"CPN";"I. Brouwer";"CPN";"1982.06.08";"http://polidocs.nl/XML/MOT/1952711.xml"
"M. Bakker";"CPN";"G.H. Schreuders";"CPN";"1982.06.08";"http://polidocs.nl/XML/MOT/1952711.xml"
"J.A.W.J. Leerdam";"PvdA";"F.H.H. Weekers";"VVD";"2006.12.20";"http://polidocs.nl/XML/MOT/5923121.xml"
"J.A.W.J. Leerdam";"PvdA";"A. Pechtold";"D66";"2006.12.20";"http://polidocs.nl/XML/MOT/5923121.xml"
"J.A.W.J. Leerdam";"PvdA";"H. v. Bommel";"SP";"2006.12.20";"http://polidocs.nl/XML/MOT/5923121.xml"
"J.A.W.J. Leerdam";"PvdA";"W. v. Gent";"GL";"2006.12.20";"http://polidocs.nl/XML/MOT/5923121.xml"
"J.A.W.J. Leerdam";"PvdA";"C.G. v.d. Staaij";"SGP";"2006.12.20";"http://polidocs.nl/XML/MOT/5923121.xml"
"J.A.W.J. Leerdam";"PvdA";"C.A. Ortega-Martijn";"CU";"2006.12.20";"http://polidocs.nl/XML/MOT/5923121.xml"
"J.A.W.J. Leerdam";"PvdA";"M.L. Thieme";"PVDD";"2006.12.20";"http://polidocs.nl/XML/MOT/5923121.xml"
"J.A.W.J. Leerdam";"PvdA";"W.R.C. Sterk";"CDA";"2006.12.20";"http://polidocs.nl/XML/MOT/5923121.xml"
"M.T.J.M. v. Lith";"CDA";"J.M. Lenards";"VVD";"2006.06.27";"http://polidocs.nl/XML/MOT/5793177.xml"
"M.T.J.M. v. Lith";"CDA";"M.J.L.M. Hermans";"LPF";"2006.06.27";"http://polidocs.nl/XML/MOT/5793177.xml"
"M.T.J.M. v. Lith";"CDA";"C.G. v.d. Staaij";"SGP";"2006.06.27";"http://polidocs.nl/XML/MOT/5793177.xml"
"J.S. Voordewind";"CU";"R.W. Knops";"CDA";"2007.11.22";"http://polidocs.nl/XML/MOT/6205746.xml"
"J.S. Voordewind";"CU";"A.M.C. Eijsink";"PvdA";"2007.11.22";"http://polidocs.nl/XML/MOT/6205746.xml"
"J.S. Voordewind";"CU";"C.G. v.d. Staaij";"SGP";"2007.11.22";"http://polidocs.nl/XML/MOT/6205746.xml"
"E.D.C.M. Lambrechts";"D66";"S.A.M. Dijksma";"PvdA";"1997.10.02";"http://polidocs.nl/XML/MOT/1840454.xml"
"P.H. Hofstra";"VVD";"S.A.M. Dijksma";"PvdA";"2004.07.01";"http://polidocs.nl/XML/MOT/2046989.xml"
"P.H. Hofstra";"VVD";"B. v.d. Ham";"D66";"2004.07.01";"http://polidocs.nl/XML/MOT/2046989.xml"
"S. Faber";"CDA";"H.H. Jacobse";"VVD";"1983.09.28";"http://polidocs.nl/XML/MOT/1982586.xml"
"S. Faber";"CDA";"D.K.J. Tommel";"D66";"1983.09.28";"http://polidocs.nl/XML/MOT/1982586.xml"
"S. Faber";"CDA";"B. Spieker";"PvdA";"1983.09.28";"http://polidocs.nl/XML/MOT/1982586.xml"
"A. Stemerdink";"PvdA";"P. Dankert";"PvdA";"1978.05.24";"http://polidocs.nl/XML/MOT/1991690.xml"
"A. Stemerdink";"PvdA";"H.J. v.d. Bergh";"PvdA";"1978.05.24";"http://polidocs.nl/XML/MOT/1991690.xml"
"L.M. d. Beer";"VVD";"P.M. Blauw";"VVD";"1983.01.24";"http://polidocs.nl/XML/MOT/1951026.xml"
"L.M. d. Beer";"VVD";"A. Jorritsma-Lebbink";"VVD";"1983.01.24";"http://polidocs.nl/XML/MOT/1951026.xml"
"E.D.C.M. Lambrechts";"D66";"L.H. Kortram";"PvdA";"1999.11.23";"http://polidocs.nl/XML/MOT/1814928.xml"
"E.D.C.M. Lambrechts";"D66";"C.I.J.M. Ross-v. Dorp";"CDA";"1999.11.23";"http://polidocs.nl/XML/MOT/1814928.xml"
"B. v.d. Ham";"D66";"J.C. Huizinga-Heringa";"CU";"2005.02.21";"http://polidocs.nl/XML/MOT/2057287.xml"
"A.M.V. Gerkens";"SP";"G.C.F.M. Depla";"PvdA";"2005.11.16";"http://polidocs.nl/XML/MOT/5573469.xml"
"A.M.V. Gerkens";"SP";"W. v. Gent";"GL";"2005.11.16";"http://polidocs.nl/XML/MOT/5573469.xml"
"I. Dezentjé Hamming";"VVD";"W. v. Gent";"GL";"2008.03.20";"http://polidocs.nl/XML/MOT/6333529.xml"
"I. Dezentjé Hamming";"VVD";"M.C. Langkamp";"SP";"2008.03.20";"http://polidocs.nl/XML/MOT/6333529.xml"
"I. Dezentjé Hamming";"VVD";"F. Koser Kaya";"D66";"2008.03.20";"http://polidocs.nl/XML/MOT/6333529.xml"
"J.C. Kombrink";"PvdA";"J.G.M. Alders";"PvdA";"1985.05.14";"http://polidocs.nl/XML/MOT/1930077.xml"
"J.C. Huizinga-Heringa";"CU";"D.M. Samsom";"PvdA";"2006.12.20";"http://polidocs.nl/XML/MOT/5918382.xml"
"J.C. Huizinga-Heringa";"CU";"K. v. Velzen";"SP";"2006.12.20";"http://polidocs.nl/XML/MOT/5918382.xml"
"J.C. Huizinga-Heringa";"CU";"C.G. v.d. Staaij";"SGP";"2006.12.20";"http://polidocs.nl/XML/MOT/5918382.xml"
"J.C. Huizinga-Heringa";"CU";"A.J.W. Duyvendak";"GL";"2006.12.20";"http://polidocs.nl/XML/MOT/5918382.xml"
"J.C. Huizinga-Heringa";"CU";"B. v.d. Ham";"D66";"2006.12.20";"http://polidocs.nl/XML/MOT/5918382.xml"
"P. Rosenmöller";"GL";"G.B.M. Leers";"CDA";"1991.02.26";"http://polidocs.nl/XML/MOT/1882297.xml"
"P. Rosenmöller";"GL";"G. Valk";"PvdA";"1991.02.26";"http://polidocs.nl/XML/MOT/1882297.xml"
"P. Rosenmöller";"GL";"F.W. Weisglas";"VVD";"1991.02.26";"http://polidocs.nl/XML/MOT/1882297.xml"
"P. Rosenmöller";"GL";"G. Ybema";"D66";"1991.02.26";"http://polidocs.nl/XML/MOT/1882297.xml"
"P. Rosenmöller";"GL";"E. v. Middelkoop";"GPV";"1991.02.26";"http://polidocs.nl/XML/MOT/1882297.xml"
"P. Rosenmöller";"GL";"C.N. v. Dis";"SGP";"1991.02.26";"http://polidocs.nl/XML/MOT/1882297.xml"
"P. Rosenmöller";"GL";"M. Leerling";"RPF";"1991.02.26";"http://polidocs.nl/XML/MOT/1882297.xml"
"L. v. Rijn-Vellekoop";"PvdA";"K. Zijlstra";"PvdA";"1987.11.16";"http://polidocs.nl/XML/MOT/1901842.xml"
"L. v. Rijn-Vellekoop";"PvdA";"D.K.J. Tommel";"D66";"1987.11.16";"http://polidocs.nl/XML/MOT/1901842.xml"
"J.M. Geluk";"VVD";"W. v.d. Brink";"LPF";"2002.12.02";"http://polidocs.nl/XML/MOT/2024556.xml"
"L. Sipkes";"GL";"D.K.J. Tommel";"D66";"1991.09.09";"http://polidocs.nl/XML/MOT/1884729.xml"
"A.J.W. Duyvendak";"GL";"E.G.M. Roemer";"SP";"2007.04.26";"http://polidocs.nl/XML/MOT/6019146.xml"
"J.P. Pronk";"PvdA";"H. Knol";"PvdA";"1978.11.29";"http://polidocs.nl/XML/MOT/1988835.xml"
"J.J. Atsma";"CDA";"L. Jacobi";"PvdA";"2007.10.15";"http://polidocs.nl/XML/MOT/6162413.xml"
"J.J. Lambers-Hacquebard";"D66";"J.L.A. Jansen";"PPR";"1980.10.13";"http://polidocs.nl/XML/MOT/1997221.xml"
"G.C.F.M. Depla";"PvdA";"W. v. Gent";"GL";"2005.04.28";"http://polidocs.nl/XML/MOT/2060169.xml"
"J. Franssen";"VVD";"D.W. d. Cloe";"PvdA";"1992.05.14";"http://polidocs.nl/XML/MOT/1881354.xml"
"J. Franssen";"VVD";"A.J. Hermes";"CDA";"1992.05.14";"http://polidocs.nl/XML/MOT/1881354.xml"
"J. Franssen";"VVD";"A. Nuis";"D66";"1992.05.14";"http://polidocs.nl/XML/MOT/1881354.xml"
"J. Franssen";"VVD";"P.A. Lankhorst";"GL";"1992.05.14";"http://polidocs.nl/XML/MOT/1881354.xml"
"J. Franssen";"VVD";"B.J. v.d. Vlies";"SGP";"1992.05.14";"http://polidocs.nl/XML/MOT/1881354.xml"
"J. Franssen";"VVD";"G.J. Schutte";"GPV";"1992.05.14";"http://polidocs.nl/XML/MOT/1881354.xml"
"J. Franssen";"VVD";"M. Leerling";"RPF";"1992.05.14";"http://polidocs.nl/XML/MOT/1881354.xml"
"D.J. Stellingwerf";"RPF";"H.J. v.d. Steenhoven";"GL";"2000.11.16";"http://polidocs.nl/XML/MOT/1806573.xml"
"Th.A.M. Meijer";"CDA";"B.J. v.d. Vlies";"SGP";"2000.03.30";"http://polidocs.nl/XML/MOT/1818659.xml"
"M.H.J. Soutendijk-v. Appeldoorn";"CDA";"A.M. Vliegenthart";"PvdA";"1991.06.17";"http://polidocs.nl/XML/MOT/1881673.xml"
"M.H.J. Soutendijk-v. Appeldoorn";"CDA";"M.M. Versnel-Schmitz";"D66";"1991.06.17";"http://polidocs.nl/XML/MOT/1881673.xml"
"M.H.J. Soutendijk-v. Appeldoorn";"CDA";"E. v. Middelkoop";"GPV";"1991.06.17";"http://polidocs.nl/XML/MOT/1881673.xml"
"M.H.J. Soutendijk-v. Appeldoorn";"CDA";"B.J. v.d. Vlies";"SGP";"1991.06.17";"http://polidocs.nl/XML/MOT/1881673.xml"
"M.H.J. Soutendijk-v. Appeldoorn";"CDA";"M. Leerling";"RPF";"1991.06.17";"http://polidocs.nl/XML/MOT/1881673.xml"
"M.H.J. Soutendijk-v. Appeldoorn";"CDA";"P.A. Lankhorst";"GL";"1991.06.17";"http://polidocs.nl/XML/MOT/1881673.xml"
"J.W. Remkes";"VVD";"O. Scheltema-d. Nie";"D66";"1996.04.16";"http://polidocs.nl/XML/MOT/1891210.xml"
"J.W. Remkes";"VVD";"E.P. v. Heemst";"PvdA";"1996.04.16";"http://polidocs.nl/XML/MOT/1891210.xml"
"J.W. Remkes";"VVD";"J.D. Gabor";"CDA";"1996.04.16";"http://polidocs.nl/XML/MOT/1891210.xml"
"A.G. Koenders";"PvdA";"J.T. Hoekema";"D66";"1998.12.03";"http://polidocs.nl/XML/MOT/1827266.xml"
"J.P. v. Iersel";"CDA";"A. v.d. Hek";"PvdA";"1983.12.28";"http://polidocs.nl/XML/MOT/1931593.xml"
"A. Wolfsen";"PvdA";"A. Hirsi Ali";"VVD";"2004.04.07";"http://polidocs.nl/XML/MOT/2042410.xml"
"M.H.P. v. Dam";"PvdA";"L.W.S.A.L.B. v.d. Laan";"D66";"2003.11.04";"http://polidocs.nl/XML/MOT/2034999.xml"
"B. d. Vries";"CDA";"E.H.T.M. Nijpels";"VVD";"1984.10.09";"http://polidocs.nl/XML/MOT/1927356.xml"
"E.I. Schippers";"VVD";"S. Buijs";"CDA";"2006.06.21";"http://polidocs.nl/XML/MOT/5787534.xml"
"L.P. Middel";"PvdA";"M.Y.J.H. Vriens-Auerbach";"CDA";"1992.11.18";"http://polidocs.nl/XML/MOT/1877409.xml"
"E.C. Bakker";"D66";"M. Bussemaker";"PvdA";"2002.12.12";"http://polidocs.nl/XML/MOT/2026790.xml"
"E.C. Bakker";"D66";"W. v. Gent";"GL";"2002.12.12";"http://polidocs.nl/XML/MOT/2026790.xml"
"E.C. Bakker";"D66";"D. Jense";"LN";"2002.12.12";"http://polidocs.nl/XML/MOT/2026790.xml"
"E.C. Bakker";"D66";"P. d. Ruiter";"SP";"2002.12.12";"http://polidocs.nl/XML/MOT/2026790.xml"
"J. Rijpstra";"VVD";"D.W. d. Cloe";"PvdA";"1997.12.03";"http://polidocs.nl/XML/MOT/1836866.xml"
"J. Rijpstra";"VVD";"E.D.C.M. Lambrechts";"D66";"1997.12.03";"http://polidocs.nl/XML/MOT/1836866.xml"
"M. Agema";"PVV";"M.C. Langkamp";"SP";"2007.09.06";"http://polidocs.nl/XML/MOT/6133586.xml"
"M. Agema";"PVV";"F. Koser Kaya";"D66";"2007.09.06";"http://polidocs.nl/XML/MOT/6133586.xml"
"J.F. Buurmeijer";"PvdA";"E. Nypels";"D66";"1985.04.25";"http://polidocs.nl/XML/MOT/1919467.xml"
"J.M. d. Vries";"CDA";"J. Rijpstra";"VVD";"2002.11.14";"http://polidocs.nl/XML/MOT/2023500.xml"
